geoRegion,ageRange,sex,pop
NE,80+,female,6566
NW,0 - 9,male,2072
NW,0 - 9,female,1855
NW,10 - 19,male,2053
NW,10 - 19,female,1883
NW,20 - 29,male,2545
NW,20 - 29,female,2237
NW,30 - 39,male,2870
NW,30 - 39,female,2646
NW,40 - 49,male,2821
NW,40 - 49,female,2800
NW,50 - 59,male,3719
NW,50 - 59,female,3524
NW,60 - 69,male,3039
NW,60 - 69,female,2781
NW,70 - 79,male,2216
NW,70 - 79,female,2190
NW,80+,male,963
NW,80+,female,1306
OW,0 - 9,male,1965
OW,0 - 9,female,1880
OW,10 - 19,male,1885
OW,10 - 19,female,1859
OW,20 - 29,male,2226
OW,20 - 29,female,2033
OW,30 - 39,male,2505
OW,30 - 39,female,2463
OW,40 - 49,male,2594
OW,40 - 49,female,2452
OW,50 - 59,male,3117
OW,50 - 59,female,2987
OW,60 - 69,male,2472
OW,60 - 69,female,2362
OW,70 - 79,male,1700
OW,70 - 79,female,1677
OW,80+,male,804
OW,80+,female,1127
SG,0 - 9,male,27524
SG,0 - 9,female,25864
SG,10 - 19,male,26517
SG,10 - 19,female,25278
SG,20 - 29,male,34263
SG,20 - 29,female,31518
SG,30 - 39,male,37354
SG,30 - 39,female,34794
SG,40 - 49,male,33889
SG,40 - 49,female,32580
SG,50 - 59,male,38664
SG,50 - 59,female,37973
SG,60 - 69,male,29056
SG,60 - 69,female,29670
SG,70 - 79,male,20744
SG,70 - 79,female,22750
SG,80+,male,10097
SG,80+,female,15969
SH,0 - 9,male,4051
SH,0 - 9,female,3811
SH,10 - 19,male,3932
SH,10 - 19,female,3721
SH,20 - 29,male,4934
SH,20 - 29,female,4498
SH,30 - 39,male,5730
SH,30 - 39,female,5407
SH,40 - 49,male,5366
SH,40 - 49,female,5203
SH,50 - 59,male,6247
SH,50 - 59,female,6433
SH,60 - 69,male,5197
SH,60 - 69,female,5352
SH,70 - 79,male,3716
SH,70 - 79,female,4263
SH,80+,male,1989
SH,80+,female,3257
SO,0 - 9,male,13867
SO,0 - 9,female,13242
SO,10 - 19,male,13331
SO,10 - 19,female,12411
SO,20 - 29,male,16464
SO,20 - 29,female,15596
SO,30 - 39,male,19304
SO,30 - 39,female,18630
SO,40 - 49,male,18044
SO,40 - 49,female,17675
SO,50 - 59,male,22112
SO,50 - 59,female,21711
SO,60 - 69,male,17619
SO,60 - 69,female,17482
SO,70 - 79,male,11972
SO,70 - 79,female,12809
SO,80+,male,5913
SO,80+,female,9280
SZ,0 - 9,male,8165
SZ,0 - 9,female,7681
SZ,10 - 19,male,7857
SZ,10 - 19,female,7396
SZ,20 - 29,male,9561
SZ,20 - 29,female,8844
SZ,30 - 39,male,11274
SZ,30 - 39,female,10590
SZ,40 - 49,male,11761
SZ,40 - 49,female,11059
SZ,50 - 59,male,14264
SZ,50 - 59,female,12798
SZ,60 - 69,male,10306
SZ,60 - 69,female,9389
SZ,70 - 79,male,6723
SZ,70 - 79,female,6761
SZ,80+,male,3198
SZ,80+,female,4530
TG,0 - 9,male,15333
TG,0 - 9,female,14340
TG,10 - 19,male,14161
TG,10 - 19,female,13334
TG,20 - 29,male,17295
TG,20 - 29,female,16219
TG,30 - 39,male,20686
TG,30 - 39,female,19305
TG,40 - 49,male,18763
TG,40 - 49,female,18045
TG,50 - 59,male,22586
TG,50 - 59,female,22256
TG,60 - 69,male,17171
TG,60 - 69,female,16901
TG,70 - 79,male,11185
TG,70 - 79,female,11910
TG,80+,male,5347
TG,80+,female,8072
TI,0 - 9,male,14794
TI,0 - 9,female,14099
TI,10 - 19,male,17235
TI,10 - 19,female,16409
TI,20 - 29,male,19222
TI,20 - 29,female,18068
TI,30 - 39,male,19942
TI,30 - 39,female,19943
TI,40 - 49,male,24075
TI,40 - 49,female,25308
TI,50 - 59,male,28915
TI,50 - 59,female,29111
TI,60 - 69,male,20629
TI,60 - 69,female,21893
TI,70 - 79,male,16474
TI,70 - 79,female,19613
TI,80+,male,9544
TI,80+,female,15712
